Handle,Posted,Text,Deleted,Uri,Images
joshnicholas.com,2024-01-18,Parliament poking through the trees,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kj7zwhgr5z2g,bafkreide3me2zpgdyyuv2alknpffmluqw4hj4ppxez2bmqnyqfqgtcgx3q.jpg
joshnicholas.com,2024-01-18,Super sunny day in Canberra,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kj7u2cgtoi2h,bafkreif4okyvalw2khbyco2ms2sqbch2v4rhazu6gr5o77gdxqulw25sge.jpg
joshnicholas.com,2024-01-17,Went to the Archibald 100 and discovered that John Howard has worn shorts at least once,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kj5swavt742i,bafkreiglldskkah7hfggvfkndw3p5kz5gxzu6gpgnhka4snehzwmctqgcm.jpg
joshnicholas.com,2024-01-17,"My last scribble from Sydney - a misty, sodden CBD from Watsons Bay",False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kj5iuzeo3527,bafkreig2ikvgpyenlfrbgk3s2xzwe6qbqtsdm23tx6cnbnoaye2yzw654q.jpg
joshnicholas.com,2024-01-15,Never ending cruises,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kiy7xyhw2j2n,bafkreib55q5mdqpzyk6mmdwra6djneccnnnsamvo52wa6l7u744qog5coq.jpg
joshnicholas.com,2024-01-14,Just finished before we got rained out,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kivxrhflel2g,bafkreibxajet3nrt5gkbb53unhpggd7ec6pl3ivw5ul4wxaax6qbwuvxdi.jpg
joshnicholas.com,2024-01-11,First day of holidays!,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kiqilnvm5k2n,bafkreihh5sxoit2p3sewxssffcibjg4nwbl53rhatngg6qkdyyo7y6mchm.jpg
joshnicholas.com,2024-01-06,Eternal quest to paint a portrait picture that looks (more) like me,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kibrsd6nmk2r,bafkreiea5bobt7wxdljpu7bpdxggcty446kxkeyurkripl27xm2fzeo32y.jpg
joshnicholas.com,2024-01-04,We should all be so lucky www.theguardian.com/australia…,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3ki6svmm7762h,bafkreiglco7rysknkjarpqjtdhsjavaqgazj4x3ypbfsi7ygfi2grp43mm.jpg
joshnicholas.com,2024-01-04,An all time Press release intro,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3ki4ivpd6732v,bafkreicwkibzx2qhbbjyrezqffn3kppjs6z5wugk7ml6chah7q2xgqkg4m.jpg
joshnicholas.com,2024-01-02,Painted a rando from a magazine cover,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3khybafwdlf2o,bafkreigkkzt7ond2hthhy5eobmtgptcveoaz4igv7edbufsxgee4s5wllm.jpg
joshnicholas.com,2024-01-01,Why is Apple so insistent that I call my mum by name? Is this a California thing?,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3khx77p6nhd2n,bafkreidywk7chhsb7acpxleoy7ribmlkyd5wnxyb7uhj7ihjiigyvsrhji.jpg
joshnicholas.com,2024-01-01,Every time I draw my uncle his neck gets longer. Gonna be a giraffe soon,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3khvwknbqn22b,bafkreidlyomu6ikweidhnwtrd2kzeewwnkhv7wzi3saptm32dnwsgn62xm.jpg
joshnicholas.com,2023-12-31,Final painting of the year! Been trying to paint my uncle for ages,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3khtek55uz32h,bafkreiadzdpntkl6m6sgkk4wvgvv6wpv3hpdmlsbhonnjybvvjuhu3udwm.jpg
joshnicholas.com,2023-12-25,Need some tips for getting cleaner lines when doing a super strong wash,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3khe4q4oaje2z,bafkreidojzu5blsduud2vcs2upui3vh5a3ifeml7apzeccjdzaojtrnyfy.jpg
joshnicholas.com,2023-12-25,Not a good likeness :(,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3khe3gphmsk2p,bafkreigralj5m2bpiu6vcjwwbinkq5kdxujo4tvboqqgqvw4nus7yuznxq.jpg
joshnicholas.com,2023-12-25,New favourite word: pestiferous www.theguardian.com/environme…,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3khdo3cel3u23,bafkreibnvcquqbbhgqya6ratevnchhu5j4m5su5b2la3zxc52rohph2mwq.jpg
joshnicholas.com,2023-12-23,Serious warpage,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kh6y2nszos2n,bafkreiepjjgtrwjyvxu52c2fgrw2mok5i4kkfdpifrtzheaamytt5jnb4e.jpg
joshnicholas.com,2023-12-23,Scribbling starting to come back,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kh6uocwxnt26,bafkreicqbsma7kozfxqcvcy22iaf76uv6gq4a5mhxm7dnx5i4jhbeabvm4.jpg
joshnicholas.com,2023-11-20,Might be grasping at straws because I very enjoy the programming parts of my job. But this gives me hope it isn’t going to be automated away in the short term thereader.mitpress.mit.edu/will-ai-r…,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kenj7rwpkt2f,bafkreiaohmfa7ef43wr33xnaqns6gfi4725aoqeufrxixngjaxx35bxany.jpgbafkreif6bgjp2bamcwegdvzfb5qcrrahazh2brazxmtykuf6l4gwgtragq.jpg
joshnicholas.com,2023-11-12,Also rainy Melbourne not appreciating my quick sketch of rainy Melbourne,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kdzhic52zs25,bafkreihd4cfqaqsvjyehin5nhdgv7sgfwyfgtnbb2rftzhj2uq7mpex23y.jpg
joshnicholas.com,2023-11-12,Ok. Going to fill a sketchbook with hands.,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kdzh2bgr7l2q,bafkreibyesdiu2ku4o4ob63z27ntbdi7kffm5o4w53blmbq4xjwvabbggi.jpg
joshnicholas.com,2023-11-06,Still going! Inktober 20: Frost,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kdj7wsoivb2e,bafkreierqufy7ykmwlimjqx6do5bzgbcd2dw3hhvxiy3azvmodj7xkhsua.jpg
joshnicholas.com,2023-11-02,Still going! Inktober 18: saddle,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kdaarivbgc2v,bafkreiclnuvcmf7bmc7wnv5p56xwuf6i5wdjgrf2iwszmut7w2pidoo47e.jpg
joshnicholas.com,2023-11-01,Still catching up! Inktober 17: Demon,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kd4howcq272u,bafkreic63g4ybdx3u3tk35ctkgb2iurb2inrr2ciwub3lwa7s5h6in7aiy.jpg
joshnicholas.com,2023-10-25,This one didn’t really work. But here’s inktober 16: angel,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kcm4ijxn242f,bafkreieflroiqd6qcaa4ravdasu6j6ku5tndl5qraaeena3qvawfx2ivuy.jpg
joshnicholas.com,2023-10-24,Inktober 15: dagger,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kcjhw2zkky23,bafkreiafihlfshhhqgr5zyaulrvl4fl25wkt25m4xsyxl4vko4mpcxbqfu.jpg
joshnicholas.com,2023-10-23,Still catching up. Inktobers 13 & 14: Rise and Castle,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kcgzjj76nl2x,bafkreifabjvzcuxscm4ctj6677q2u32fwc5cfmiuwbk2uz6kmlmr355dge.jpg
joshnicholas.com,2023-10-20,I might actually watch football if they did this www.theguardian.com/commentis…,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kc5jpknryl2e,bafkreihfpymd3u3stnwaxiulew6qnqkinpmyzaj2njmzzap4hyf5lf4gg4.jpg
joshnicholas.com,2023-10-19,Lovely warm day today so here’s inktober 11: Wander.,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kc3okcbzab2u,bafkreifconaqxmxnjo3or2ci54adikjcanzsbqtgtodvbs6nyq5rfdp36y.jpg
joshnicholas.com,2023-10-18,Inktober 10: fortune. Still can’t do hands.,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kc2kbe7cfd2u,bafkreie5bc5rpjawzwtqrami3z7kt4wftdas4w6lzaybt6ufghikns3ieu.jpg
joshnicholas.com,2023-10-17,Still really behind on Inktober. Prob won’t finish in October. Anyway #9: bounce,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kbxygpp2s22y,bafkreigvtes5r5rpox2ekclsfsq5hzxyydunbarcvd2xi6kb5h2eymyp6a.jpg
joshnicholas.com,2023-10-15,Castlemaine is lovely. Although you wouldn’t know it from how I screwed up the perspective,False,at://did:plc:3kqj3ksyfct7pip5j5dnmjcu/app.bsky.feed.post/3kbqu4f2cef27,bafkreicee72gxcevswa7242hiytjbw3jrwkeo2g3oedr2wrgybbneqsdtu.jpg
